"YEAR","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","OP_UNIQUE_CARRIER","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN_CITY_MARKET_ID","ORIGIN","ORIGIN_CITY_NAME","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST_CITY_MARKET_ID","DEST","DEST_CITY_NAME","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","DEP_DEL15","CANCELLED","DIVERTED","AIR_TIME","DISTANCE","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2018,4,11,1,4,2018-11-01,"WN",10713,1071302,30713,"BOI","Boise, ID",11884,1188402,31884,"GEG","Spokane, WA","1915","1916",1.00,1.00,0.00,0.00,0.00,49.00,287.00,,,,,,
2018,4,11,1,4,2018-11-01,"WN",10821,1082106,30852,"BWI","Baltimore, MD",14747,1474703,30559,"SEA","Seattle, WA","1335","1332",-3.00,0.00,0.00,0.00,0.00,322.00,2335.00,,,,,,
2018,4,11,1,4,2018-11-01,"WN",11259,1125903,30194,"DAL","Dallas, TX",14747,1474703,30559,"SEA","Seattle, WA","0925","0923",-2.00,0.00,0.00,0.00,0.00,262.00,1670.00,0.00,0.00,25.00,0.00,0.00,
2018,4,11,1,4,2018-11-01,"WN",11292,1129202,30325,"DEN","Denver, CO",11884,1188402,31884,"GEG","Spokane, WA","2215","2236",21.00,21.00,1.00,0.00,0.00,127.00,836.00,11.00,0.00,3.00,0.00,10.00,
2018,4,11,1,4,2018-11-01,"WN",11292,1129202,30325,"DEN","Denver, CO",11884,1188402,31884,"GEG","Spokane, WA","0815","0812",-3.00,0.00,0.00,0.00,0.00,130.00,836.00,,,,,,
2018,4,11,1,4,2018-11-01,"WN",11292,1129202,30325,"DEN","Denver, CO",14747,1474703,30559,"SEA","Seattle, WA","1125","1135",10.00,10.00,0.00,0.00,0.00,173.00,1024.00,10.00,0.00,9.00,0.00,0.00,
2018,4,11,1,4,2018-11-01,"WN",11292,1129202,30325,"DEN","Denver, CO",14747,1474703,30559,"SEA","Seattle, WA","1305","1308",3.00,3.00,0.00,0.00,0.00,165.00,1024.00,,,,,,
2018,4,11,1,4,2018-11-01,"WN",11292,1129202,30325,"DEN","Denver, CO",14747,1474703,30559,"SEA","Seattle, WA","1720","1728",8.00,8.00,0.00,0.00,0.00,165.00,1024.00,8.00,0.00,9.00,0.00,0.00,
2018,4,11,1,4,2018-11-01,"WN",11292,1129202,30325,"DEN","Denver, CO",14747,1474703,30559,"SEA","Seattle, WA","0815","0833",18.00,18.00,1.00,0.00,0.00,163.00,1024.00,3.00,0.00,0.00,0.00,13.00,
2018,4,11,1,4,2018-11-01,"WN",11292,1129202,30325,"DEN","Denver, CO",14747,1474703,30559,"SEA","Seattle, WA","2155","2159",4.00,4.00,0.00,0.00,0.00,154.00,1024.00,,,,,,
2018,4,11,1,4,2018-11-01,"WN",11884,1188402,31884,"GEG","Spokane, WA",10713,1071302,30713,"BOI","Boise, ID","1950","1944",-6.00,0.00,0.00,0.00,0.00,37.00,287.00,,,,,,
2018,4,11,1,4,2018-11-01,"WN",11884,1188402,31884,"GEG","Spokane, WA",11292,1129202,30325,"DEN","Denver, CO","1335","1342",7.00,7.00,0.00,0.00,0.00,102.00,836.00,,,,,,
2018,4,11,1,4,2018-11-01,"WN",11884,1188402,31884,"GEG","Spokane, WA",11292,1129202,30325,"DEN","Denver, CO","0625","0622",-3.00,0.00,0.00,0.00,0.00,97.00,836.00,,,,,,
2018,4,11,1,4,2018-11-01,"WN",11884,1188402,31884,"GEG","Spokane, WA",12889,1288903,32211,"LAS","Las Vegas, NV","0720","0716",-4.00,0.00,0.00,0.00,0.00,97.00,806.00,,,,,,
2018,4,11,1,4,2018-11-01,"WN",11884,1188402,31884,"GEG","Spokane, WA",12889,1288903,32211,"LAS","Las Vegas, NV","1700","1747",47.00,47.00,1.00,0.00,0.00,98.00,806.00,0.00,0.00,0.00,0.00,22.00,
2018,4,11,1,4,2018-11-01,"WN",11884,1188402,31884,"GEG","Spokane, WA",13796,1379608,32457,"OAK","Oakland, CA","0545","0542",-3.00,0.00,0.00,0.00,0.00,94.00,723.00,,,,,,
2018,4,11,1,4,2018-11-01,"WN",11884,1188402,31884,"GEG","Spokane, WA",13796,1379608,32457,"OAK","Oakland, CA","1635","1648",13.00,13.00,0.00,0.00,0.00,98.00,723.00,,,,,,
2018,4,11,1,4,2018-11-01,"WN",11884,1188402,31884,"GEG","Spokane, WA",14107,1410702,30466,"PHX","Phoenix, AZ","1125","1147",22.00,22.00,1.00,0.00,0.00,114.00,1020.00,,,,,,
2018,4,11,1,4,2018-11-01,"WN",11884,1188402,31884,"GEG","Spokane, WA",14831,1483106,32457,"SJC","San Jose, CA","1250","1252",2.00,2.00,0.00,0.00,0.00,98.00,742.00,,,,,,
2018,4,11,1,4,2018-11-01,"WN",11884,1188402,31884,"GEG","Spokane, WA",14893,1489302,33192,"SMF","Sacramento, CA","1015","1011",-4.00,0.00,0.00,0.00,0.00,83.00,649.00,,,,,,
2018,4,11,1,4,2018-11-01,"WN",12889,1288903,32211,"LAS","Las Vegas, NV",11884,1188402,31884,"GEG","Spokane, WA","0955","0953",-2.00,0.00,0.00,0.00,0.00,130.00,806.00,,,,,,
2018,4,11,1,4,2018-11-01,"WN",12889,1288903,32211,"LAS","Las Vegas, NV",11884,1188402,31884,"GEG","Spokane, WA","2150","2145",-5.00,0.00,0.00,0.00,0.00,132.00,806.00,,,,,,
2018,4,11,1,4,2018-11-01,"WN",12889,1288903,32211,"LAS","Las Vegas, NV",14747,1474703,30559,"SEA","Seattle, WA","1950","1952",2.00,2.00,0.00,0.00,0.00,156.00,867.00,,,,,,
2018,4,11,1,4,2018-11-01,"WN",12889,1288903,32211,"LAS","Las Vegas, NV",14747,1474703,30559,"SEA","Seattle, WA","0800","0758",-2.00,0.00,0.00,0.00,0.00,151.00,867.00,,,,,,
2018,4,11,1,4,2018-11-01,"WN",12889,1288903,32211,"LAS","Las Vegas, NV",14747,1474703,30559,"SEA","Seattle, WA","1255","1347",52.00,52.00,1.00,0.00,0.00,143.00,867.00,16.00,0.00,0.00,0.00,34.00,
2018,4,11,21,3,2018-11-21,"WN",14893,1489302,33192,"SMF","Sacramento, CA",11884,1188402,31884,"GEG","Spokane, WA","0830","0837",7.00,7.00,0.00,0.00,0.00,76.00,649.00,,,,,,
2018,4,11,21,3,2018-11-21,"WN",14893,1489302,33192,"SMF","Sacramento, CA",11884,1188402,31884,"GEG","Spokane, WA","1820","1834",14.00,14.00,0.00,0.00,0.00,76.00,649.00,,,,,,
2018,4,11,21,3,2018-11-21,"WN",14893,1489302,33192,"SMF","Sacramento, CA",14747,1474703,30559,"SEA","Seattle, WA","1705","1709",4.00,4.00,0.00,0.00,0.00,87.00,605.00,,,,,,
2018,4,11,21,3,2018-11-21,"WN",14893,1489302,33192,"SMF","Sacramento, CA",14747,1474703,30559,"SEA","Seattle, WA","0535","0532",-3.00,0.00,0.00,0.00,0.00,78.00,605.00,,,,,,
2018,4,11,21,3,2018-11-21,"WN",14893,1489302,33192,"SMF","Sacramento, CA",14747,1474703,30559,"SEA","Seattle, WA","1000","1032",32.00,32.00,1.00,0.00,0.00,79.00,605.00,6.00,0.00,0.00,0.00,10.00,
