,DATE,HourlyAltimeterSetting,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyRelativeHumidity,HourlySeaLevelPressure,HourlySkyConditions,HourlyStationPressure,HourlyVisibility,HourlyWetBulbTemperature,HourlyWindDirection,HourlyWindSpeed,time
0,2017-12-01T00:53:00,30.14,40.0,45.0,0.00,83.0,30.16,FEW:02 38 BKN:07 190,29.67,10.0,43.0,200,13.0,2017120100
1,2017-12-01T01:53:00,30.13,39.0,44.0,0.00,83.0,30.16,FEW:02 34 BKN:07 190,29.66,10.0,42.0,180,10.0,2017120101
2,2017-12-01T02:53:00,30.12,39.0,43.0,0.00,86.0,30.15,SCT:04 35 BKN:07 190,29.65,10.0,41.0,150,8.0,2017120102
3,2017-12-01T03:53:00,30.11,38.0,42.0,0.00,85.0,30.13,SCT:04 36 BKN:07 150,29.64,10.0,40.0,130,9.0,2017120103
5,2017-12-01T04:53:00,30.09,37.0,41.0,0.00,86.0,30.11,FEW:02 36 BKN:07 160,29.62,10.0,39.0,140,8.0,2017120104
6,2017-12-01T05:53:00,30.08,36.0,42.0,0.00,79.0,30.1,FEW:02 36 SCT:04 160,29.61,10.0,39.0,210,10.0,2017120105
7,2017-12-01T06:53:00,30.07,35.0,39.0,0.00,86.0,30.09,FEW:02 36 SCT:04 160,29.6,10.0,37.0,160,8.0,2017120106
8,2017-12-01T07:53:00,30.06,36.0,41.0,0.00,82.0,30.09,FEW:02 35 BKN:07 60 OVC:08 160,29.59,10.0,39.0,160,7.0,2017120107
9,2017-12-01T08:53:00,30.06,36.0,42.0,0.00,79.0,30.08,FEW:02 40 BKN:07 70 BKN:07 160,29.59,10.0,39.0,140,9.0,2017120108
10,2017-12-01T09:53:00,30.06,37.0,44.0,0.00,76.0,30.09,FEW:02 40 BKN:07 70 OVC:08 100,29.59,10.0,41.0,210,7.0,2017120109
12,2017-12-01T10:53:00,30.05,39.0,47.0,0.00,74.0,30.07,FEW:02 40 BKN:07 75 OVC:08 100,29.58,10.0,43.0,210,11.0,2017120110
13,2017-12-01T11:53:00,30.02,38.0,48.0,0.00,68.0,30.04,FEW:02 40 BKN:07 75 BKN:07 120,29.55,10.0,43.0,180,15.0,2017120111
14,2017-12-01T12:53:00,30.0,38.0,48.0,0.00,68.0,30.02,FEW:02 20 BKN:07 70 OVC:08 90,29.53,10.0,43.0,180,11.0,2017120112
15,2017-12-01T13:53:00,29.98,38.0,48.0,T,68.0,30.01,FEW:02 37 BKN:07 60 BKN:07 80,29.51,10.0,43.0,180,9.0,2017120113
16,2017-12-01T14:53:00,29.98,42.0,46.0,0.05,86.0,30.0,BKN:07 33 OVC:08 60,29.51,6.0,44.0,200,9.0,2017120114
18,2017-12-01T15:53:00,29.96,43.0,45.0,0.04,93.0,29.98,SCT:04 8 BKN:07 30 BKN:07 90,29.49,10.0,44.0,170,11.0,2017120115
20,2017-12-01T16:53:00,29.97,43.0,45.0,0.01,93.0,29.99,FEW:02 9 SCT:04 29 OVC:08 38,29.5,6.0,44.0,160,8.0,2017120116
23,2017-12-01T17:53:00,29.97,43.0,45.0,0.04,93.0,29.99,FEW:02 27 OVC:08 33,29.5,10.0,44.0,180,9.0,2017120117
25,2017-12-01T18:53:00,29.97,43.0,45.0,0.07,93.0,29.99,SCT:04 18 BKN:07 26 OVC:08 33,29.5,7.0,44.0,200,9.0,2017120118
26,2017-12-01T19:53:00,29.97,41.0,44.0,T,89.0,30.0,FEW:02 17 BKN:07 29 OVC:08 46,29.5,10.0,43.0,180,11.0,2017120119
27,2017-12-01T20:53:00,29.99,42.0,44.0,0.05,93.0,30.01,BKN:07 23 OVC:08 29,29.52,10.0,43.0,190,7.0,2017120120
