DATE,HourlyAltimeterSetting,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlySeaLevelPressure,HourlyStationPressure,HourlyPressureChange,HourlyPressureTendency,HourlyVisibility,HourlyWindSpeed,HourlySkyConditions,HourlyPrecipitation,HourlyWetBulbTemperature,HourlyWindDirection,HourlyRelativeHumidity,REPORT_TYPE,cloud_1,cloud_0,wind_north,wind_east,wind_south,wind_west,join_time,avg_delay
2017-12-01T00:53:00,30.14,40.0,45.0,30.16,29.67,-0.0,3.0,10.0,13.0,FEW:02 38 BKN:07 190,0.0,43.0,200.0,83.0,FM-15,0,1,0,0,1,0,2017120100,-6.6
2017-12-01T01:53:00,30.13,39.0,44.0,30.16,29.66,0.0,0.0,10.0,10.0,FEW:02 34 BKN:07 190,0.0,42.0,180.0,83.0,FM-15,0,1,0,0,1,0,2017120101,-10.0
2017-12-01T05:53:00,30.08,36.0,42.0,30.1,29.61,0.0,0.0,10.0,10.0,FEW:02 36 SCT:04 160,0.0,39.0,210.0,79.0,FM-15,0,1,0,0,1,0,2017120105,-3.16
2017-12-01T06:53:00,30.07,35.0,39.0,30.09,29.6,0.04,6.0,10.0,8.0,FEW:02 36 SCT:04 160,0.0,37.0,160.0,86.0,FM-15,0,1,0,0,1,0,2017120106,1.1875
2017-12-01T07:53:00,30.06,36.0,41.0,30.09,29.59,0.0,0.0,10.0,7.0,FEW:02 35 BKN:07 60 OVC:08 160,0.0,39.0,160.0,82.0,FM-15,1,0,0,0,1,0,2017120107,4.147540983606556
2017-12-01T08:53:00,30.06,36.0,42.0,30.08,29.59,0.0,0.0,10.0,9.0,FEW:02 40 BKN:07 70 BKN:07 160,0.0,39.0,140.0,79.0,FM-15,0,1,0,0,1,0,2017120108,5.205128205128204
2017-12-01T09:53:00,30.06,37.0,44.0,30.09,29.59,0.01,5.0,10.0,7.0,FEW:02 40 BKN:07 70 OVC:08 100,0.0,41.0,210.0,76.0,FM-15,1,0,0,0,1,0,2017120109,0.4761904761904762
2017-12-01T10:53:00,30.05,39.0,47.0,30.07,29.58,0.0,0.0,10.0,11.0,FEW:02 40 BKN:07 75 OVC:08 100,0.0,43.0,210.0,74.0,FM-15,1,0,0,0,1,0,2017120110,4.186046511627906
2017-12-01T11:53:00,30.02,38.0,48.0,30.04,29.55,0.0,0.0,10.0,15.0,FEW:02 40 BKN:07 75 BKN:07 120,0.0,43.0,180.0,68.0,FM-15,0,1,0,0,1,0,2017120111,6.745454545454545
2017-12-01T12:53:00,30.0,38.0,48.0,30.02,29.53,0.06,8.0,10.0,11.0,FEW:02 20 BKN:07 70 OVC:08 90,0.0,43.0,180.0,68.0,FM-15,1,0,0,0,1,0,2017120112,4.4848484848484835
